code_op;nom_op;num_site;id_site_partage;id_station_anfr;x;y;latitude;longitude;nom_reg;nom_dep;insee_dep;nom_com;insee_com;site_2g;site_3g;site_4g;site_5g;mes_4g_trim;site_ZB;site_DCC;site_strategique;site_capa_240mbps;date_ouverturecommerciale_5g;site_5g_700_m_hz;site_5g_800_m_hz;site_5g_1800_m_hz;site_5g_2100_m_hz;site_5g_3500_m_hz
20801;Orange;00002005Z1;;0612290054;486561;6819210;48,43806;0,1136;Normandie;Orne;61;Alençon;61001;1;1;1;1;0;0;0;0;1;2022-03-21;0;0;0;0;1
20801;Orange;00002006Z1;;0612290055;485681;6818748;48,43361;0,10194;Normandie;Orne;61;Alençon;61001;1;1;1;1;0;0;0;0;1;2021-12-13;0;0;0;0;1
20801;Orange;00002011Z1;;0612290066;483949;6820295;48,44695;0,07777;Normandie;Orne;61;Damigny;61143;0;0;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00002012Z1;;0612290059;485011;6816733;48,41527;0,09389;Normandie;Orne;61;Alençon;61001;0;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00002279Z1;;0502290091;370987;6862442;48,77805;-1,47972;Normandie;Manche;50;Saint-Pierre-Langers;50540;1;1;1;1;0;0;0;0;1;2023-02-27;0;0;0;0;1
20801;Orange;00002823R1;;0762290187;490385;6938081;49,5075;0,10639;Normandie;Seine-Maritime;76;Le Havre;76351;1;1;1;1;0;0;0;0;1;2023-12-15;0;0;0;0;1
20801;Orange;00002824R1;;0762290188;493526;6935833;49,48833;0,15083;Normandie;Seine-Maritime;76;Le Havre;76351;1;1;1;1;0;0;0;0;1;2021-01-29;0;0;0;0;1
20801;Orange;00002830R1;;0762290282;499219;6937888;49,50861;0,22833;Normandie;Seine-Maritime;76;Gonfreville-l'Orcher;76305;0;1;1;1;0;0;0;0;1;2022-12-22;0;0;0;0;1
20801;Orange;00002956Z1;;0142290138;414384;6867191;48,84139;-0,89306;Normandie;Calvados;14;Vire Normandie;14762;1;1;1;1;0;0;0;0;1;2023-09-26;0;0;0;0;1
20801;Orange;00002964Z1;;0612290047;483222;6818406;48,42972;0,0689;Normandie;Orne;61;Alençon;61001;1;1;1;1;0;0;0;0;1;2021-12-10;0;0;0;0;1
